City,SO2,Temp,Manuf,Pop,Wind,Precip,Days,Group
Albany,46,47.6,44,116,8.8,33.36,135,S
Albuquerque,11,56.8,46,244,8.9,7.77,58,S
Atlanta,24,61.5,368,497,9.1,48.34,115,S
Baltimore,47,55,625,905,9.6,41.31,111,L
Buffalo,11,47.1,391,463,12.4,36.11,166,S
Charleston,31,55.2,35,71,6.5,40.75,148,S
Chicago,110,50.6,3344,3369,10.4,34.44,122,L
Cincinnati,23,54,462,453,7.1,39.04,132,S
Cleveland,65,49.7,1007,751,10.9,34.99,155,L
Columbus,26,51.5,266,540,8.6,37.01,134,S
Dallas,9,66.2,641,844,10.9,35.94,78,L
Denver,17,51.9,454,515,9,12.95,86,S
DesMoines,17,49,104,201,11.2,30.85,103,S
Detroit,35,49.9,1064,1513,10.1,30.96,129,L
Hartford,56,49.1,412,158,9,43.37,127,S
Houston,10,68.9,721,1233,10.8,48.19,103,L
Indianapolis,28,52.3,361,746,9.7,38.74,121,L
Jacksonville,14,68.4,136,529,8.8,54.47,116,S
Kansas,14,54.5,381,507,10,37,99,S
Little Rock,13,61,91,132,8.2,48.52,100,S
Louisville,30,55.6,291,593,8.3,43.11,123,S
Memphis,10,61.6,337,624,9.2,49.1,105,S
Miami,10,75.5,207,335,9,59.8,128,S
Milwaukee,16,45.7,569,717,11.8,29.07,123,L
Minneapolis,29,43.5,699,744,10.6,25.94,137,L
Nashville,18,59.4,275,448,7.9,46,119,S
New Orleans,9,68.3,204,361,8.4,56.77,113,S
Norfolk,31,59.3,96,308,10.6,44.68,116,S
Omaha,14,51.5,181,347,10.9,30.18,98,S
Philadelphia,69,54.6,1692,1950,9.6,39.93,115,L
Phoenix,10,70.3,213,582,6,7.05,36,S
Pittsburgh,61,50.4,347,520,9.4,36.22,147,S
Provindence,94,50,343,179,10.6,42.75,125,S
Richmond,26,57.8,197,299,7.6,42.59,115,S
Salt Lake City,28,51,137,176,8.7,15.17,89,S
San Francisco,12,56.7,453,716,8.7,20.66,67,L
Seattle,29,51.1,379,531,9.4,38.79,164,S
St Louis,56,55.9,775,622,9.5,35.89,105,S
Washington,29,57.3,434,757,9.3,38.89,111,L
Wichita,8,56.6,125,277,12.7,30.58,82,S
Wilmington,36,54,80,80,9,40.25,114,S
