YEAR,ECO10,ECO3,HUC4,AG_TOT,ANC,CA,CL,COND,DOC,FOR_TOT,Sodium,NH4,NO3,NTL,PH,SIO2,TSS,TURB,URB_TOT
2003,PL-NCULT,PL,1016,91.53,4664.9,12839.3,763.3,2295,9.56,0.23,5263.3,5,15,2363,7.86,12.63,68.6,28.2,0.62
2003,PL-RANGE,PL,1015,28.66,4159.4,2324.3,79,396.2,3.2,0.27,1146.6,1,8.6,774,8.23,7.87,31.4,17,0.2
2003,PL-RANGE,PL,1013,46.81,7329.4,3062.9,53,795.9,4.66,0.04,3242.8,1,0,444,7.86,6.98,14.5,2.67,1.23
2003,PL-NCULT,PL,702,79.7,5911.2,8108.8,161.9,1192,5.24,2.66,1318.4,5.6,67.8,1748,8.08,29.14,45.8,21.6,0.12
2001,XE-NORTH,XE,1604,0.01,1877.4,760.4,148.6,214.4,3.36,0.57,584,1.1,0,464,9.12,26.54,8.4,2.66,0
2003,PL-RANGE,PL,1015,73.18,3012.3,3312.9,280.1,851.7,8.99,0.9,2288.4,1.4,0,1186,7.53,22.38,19.6,10.1,0.31
2003,PL-RANGE,PL,1012,6.47,2412,10713.5,287.7,1696,3.16,10.96,3458.1,0.5,0,581,8.02,5.32,325.5,218,0.37
2001,XE-SOUTH,XE,1604,0,2909.9,2115.7,792.6,516.2,1.36,2.76,1896.9,0.4,0,123,8.47,22.85,0.3,0.384,0
2003,PL-NCULT,PL,1016,73.95,6976.2,4850.8,2440.9,1541,16.33,1.23,7168.5,3.1,2.1,2413,8.6,22.37,27.4,14.1,0.26
2003,MT-SWEST,MT,1506,0.39,5516.5,2910.2,906,698.8,1.84,45.26,2002.6,0.7,5.7,247,8.17,26.85,9.9,5.38,0.46
2001,XE-SOUTH,XE,1606,0,1211,663,121.8,150.7,4.48,26.55,444.2,0.3,1.4,285,6.93,52.62,4,2.43,0
2003,MT-SWEST,MT,1506,0.04,1962.4,1767.5,7281.7,1091,1.93,70.81,7120.6,0.9,2.1,219,8.35,17.46,33.3,11.7,0.08
2003,XE-SOUTH,XE,1504,1.21,4072.8,3199.6,5796.1,1349,1.9,31.25,8908.4,0.9,68.5,1159,8.37,34.76,198.3,138,0.1
2001,XE-NORTH,XE,1604,0,1633.4,1198.9,209.9,243.1,1.43,7.67,546.1,0.7,6.4,228,8.19,24.55,9.8,1.59,0
2003,MT-PNW,MT,1702,0,572.4,196.4,20.9,58.48,0.96,71.71,48,0.4,2.1,55,7.79,8.79,0.2,0.102,0
2003,MT-PNW,MT,1711,0,192.3,161.9,20.3,28.82,0.9,80.64,75.1,0.2,5,95,6.97,7.26,0.1,0.113,0
2001,XE-SOUTH,XE,1604,0.83,3770.7,2380.4,563.8,475.2,3.61,2.02,1380,0.6,2.1,246,7.85,40.81,3.2,2.12,0
2003,XE-NORTH,XE,1702,0.37,1171.9,982.5,9.9,123.2,0.51,66.96,100,0.4,7.1,118,7.88,9.76,5.6,0.146,0.19
2003,MT-PNW,MT,1711,0,553.6,643.2,9.3,70.07,0.57,51.13,38.8,0.3,2.9,46,7.79,2.87,0.3,0.09,0
2003,MT-NROCK,MT,1702,1.04,1816.4,1396.7,39.2,200.7,1.69,73.4,295.4,0.6,2.1,109,8.07,19.99,0.3,0.376,0.27
2003,MT-PNW,MT,1710,0,493.8,576.3,20.3,73.96,0.22,80.99,60.5,0.4,0,24,7.66,4.08,1.5,2.56,0.02
2003,MT-SROCK,MT,1018,0.02,431.9,289.9,8.2,49.62,2.05,84.28,82.7,0.3,0,109,7.83,9.86,0.4,0.554,0
2003,XE-EPLAT,XE,1018,2.42,3717.9,4887.7,83.2,653,4.53,40.89,614.2,0.6,0,305,8.4,9.27,3.7,4.83,0
2003,MT-NROCK,MT,1704,0,1324.2,949.6,8.5,145.8,1.43,45.9,318.1,0.4,2.1,125,8.21,11.02,2.5,0.576,0
2003,MT-SROCK,MT,1404,0.07,246.1,190.6,12.1,32.61,3.69,67.48,54.9,0.4,0,229,7.54,4.02,1.8,1.77,0
