AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
0.08,4835,250,2045.2,942.1,3.12,870.2,16.08,41,32.83213,116.7265,2174.2,0.3,0,174.375,7.71,36.654,0.494,21.33125,18.06,81.51,39.69,10.65,3182.2,CA,2.5,0.758,1.83,1.537909091,27.9126
0.38,1522.4,290,430.5,311.7,2.19,1372.5,56.16,60,33.13163,116.6544,1064.4,0.3,0,140.625,8.07,2.362,0.692,29.53625,13.25,41.4,36.38,16.21,1021.1,CA,1.6,0.343,1.96,0,29.2053
0.26,1537.6,281,450.4,316.7,3,1284.5,47.49,57,33.12423,116.68157,1072.4,0.5,0,193.125,7.69,4.102,0.675,19.76,12.62,50.88,34.95,15.91,1039.4,CA,1,0.412,1.36,1.83335,41.9338
2.58,2486.9,171,647.2,379.1,1.81,2180.9,17.65,61,34.57066,118.38974,1722.7,2.5,5.7,225.625,8.09,2.13,0.445,23.8575,7.42,74.01,18.06,11.89,588.6,CA,1.84,1.09,0.21,0.734881818,37.92831753
0.83,4981,260,1627.8,921,1.58,1116.3,25.82,66,34.63193,118.52977,3204.9,0.4,0,124.375,8.2,3.385,0.419,15.7025,6.56,72.32,25.58,21.51,3155.3,CA,2.12,0.16,0.57,0.204545455,51.6966
0.06,3049.1,122,108.3,618.5,0.68,1243,28.82,65,34.43952,119.07616,1131.8,0.4,4.3,110,7.99,0.246,0.652,31.19125,1.43,69.41,12.41,23.68,3494.5,CA,27.4,1.97,0,1.121227273,48.8732
68.2,5794.6,122,5447.4,3903,3.54,86.2,1.64,33,34.14743,119.087,16669.2,6.6,3256.4,49719,7.82,260.582,0.385,72,26.38,16.19,41.6,4.12,36581.8,CA,5.92,2.45,10.89,3.371304545,142.9326
15.69,4093.6,122,218,909.5,1.51,1834.8,23.04,97,34.72654,119.02842,2692.9,0.7,102.1,1639.375,8.32,0.32,0.423,12.47375,10.89,56.86,19.8,12.22,5487.9,CA,8.32,0.295,0.14,0.030304545,152.9089
0.1,6641.3,122,448.3,1171,2.86,846.1,39.95,34,34.7477,120.05303,1744.9,0.6,0,153.75,8.46,0.203,0.582,191.52875,8.71,58,32.18,24.38,6817.8,CA,3.52,0.435,0.04,0,19.6765
0.16,3187.5,123,113.1,420.5,1.07,2183,66.17,56,34.10098,117.01071,587.2,0.8,14.3,226.25,8.42,9.589,0.844,4.01125,9.94,32.01,16.69,27.37,1131.9,CA,5.92,0.262,0.13,0.727272727,95.233
0.62,2694.5,104,590.4,363.6,4.03,1506.3,53.03,53,33.33052,116.81511,1576.7,0.9,0,278.75,7.32,3.23,0.695,27.29125,5.39,45.51,31.92,12.99,394.5,CA,1.16,0.222,0.05,0.136363636,34.6742
13.13,5875.1,123,7064.5,1942,3.92,342,8.48,44,33.0682,117.16872,9479.2,1.2,434.8,8063,8.28,621.134,0.363,34.8,37.35,57.21,22.31,9.56,6724.5,CA,4.64,0.733,19.84,0.045454545,145.0589
0,1841.3,123,73.9,187.1,0.82,1953.1,33.22,64,34.17617,116.9839,503.6,0.3,5,118.75,7.73,0.146,0.772,21.45375,6.99,66.75,24.9,26.97,41.8,CA,14.76,1.28,0,0,6.8485
0,3932.3,122,105.8,716.6,0.76,1611.1,64.42,60,34.73287,119.67637,869.2,0.2,0,23.75,7.68,0,0.674,1.8,3.66,35.46,16.53,22.31,3862.3,CA,2.24,0.144,0.01,0,24.9674
0.04,3759.5,122,253,979.4,1.62,1481,49.05,59,34.74721,119.71562,1753.4,0.3,0,90,8.24,0,0.633,9.5775,2.29,49.69,16.91,21.64,6948.5,CA,6.28,0.861,0.02,0,76.9259
14.67,5587,123,7080.8,1927,3.39,359.4,8.3,42,33.09896,117.12876,10018.2,10.4,453.1,8756,8.1,724.502,0.368,56.756,40.92,53.24,28.96,8.9,6753.1,CA,5,1.11,22.34,3.848486364,122.2912
70.02,3990.5,123,3001.4,964,4.4,244.1,0.15,53,33.96165,117.50039,4541.2,5.1,397.6,8525,8.36,410.497,0.289,2165.344,8.55,25.31,21.07,5.42,1856.2,CA,39.48,10.5,4.69,2.045527273,1.8058
0,529,123,11.8,56.03,0.39,2852.6,88.11,60,34.13332,116.84289,139.3,0.4,2.9,41.25,7.83,0,0.916,6.04875,0,11.59,12.39,22.05,36.9,CA,2.56,0.166,0,0,3.611
