STATE,CA,COND,K,MG,Sodium,ANC,CL,CO3,COLOR,DOC,HCO3,NH4,NO3,NTL,PTL,SIO2,SO4,TSS,TURB,AG_TOT,ASPCTDEG,ELEVMEAN,FOR_TOT,KM_SEA,POPDENKM,PRECIP_M,RD_DEN,RNG_TOT,SLOPMEAN,WSAREA,W1_HALL,LAT_DD,LON_DD
WA,196.4,58.48,22.7,362.1,48,572.4,20.9,3.140006342,0,0.96,543.1399646,0.4,2.1,55,1,8.79,30.4,0.2,0.102,0,38,1568,71.71,98,0.016,2.441,0,18.52,27.19,63.6483,0,47.63122,120.96894
WA,161.9,28.82,8.1,26.4,75.1,192.3,20.3,0.159630733,5,0.9,182.4306238,0.2,5,95,2,7.26,53.1,0.1,0.113,0,310,1263.5,80.64,60,0.205,3.031,0,11,25.51,14.6645,0.803054545,47.44774,121.51269
WA,982.5,123.2,9.9,206.2,100,1171.9,9.9,8.379737391,0,0.51,1178.179992,0.4,7.1,118,0,9.76,89.3,5.6,0.146,0.37,155,1630.4,66.96,150,0.146,1.112,3.88,24.11,26.31,1135.042,1.484922727,48.50849,120.28161
WA,643.2,70.07,2.2,25,38.8,553.6,9.3,3.056643342,0,0.57,528.7203195,0.3,2.9,46,0,2.87,118.7,0.3,0.09,0,174,1488.1,51.13,26,0,3.608,0,36.53,23.36,2.2885,0,47.65133,123.35231
WA,1396.7,200.7,40,427.5,295.4,1816.4,39.2,19.88117927,0,1.69,1804.776286,0.6,2.1,109,25,19.99,259.8,0.3,0.376,1.04,109,1161,73.4,258,1.351,0.445,12.37,16.84,13.63,1664.4121,2.060609091,48.39025,118.74508
WA,576.3,73.96,5.2,50.8,60.5,493.8,20.3,2.067000725,0,0.22,482.30511,0.4,0,24,3,4.08,189.9,1.5,2.56,0,267,974.7,80.99,31,0.058,4.321,0.33,4.68,27.49,325.0005,0.553045455,47.81989,124.01959
WA,278,59.5,5.7,135.8,166.4,453.2,48.8,0.122068885,5,0.36,461.9406817,0.6,25.7,383.75,3.34875,17.42,22.7,0.84,0.073,0.05,228,227.9,94.32,24,1.42,3.084,11.16,0.05,7.86,3.5156,0,47.27658,123.45342
WA,198.2,40.72,43.1,79.6,62,273.8,7.9,0.642109989,5,0.62,206.8191079,0.4,2.9,66.25,1.09625,9.98,100.8,1.44,0.111,0,55,1526.3,72.98,95,0.032,1.848,0.01,18.08,26.63,61.704,0.33335,47.77337,120.92748
WA,288.9,50.79,5.5,86,132.1,417.1,32.2,1.617149548,0,0.79,395.122188,0.6,0,42.5,2.47875,15.07,32.1,1.92,0.257,0.11,308,850.3,81.05,58,1.728,2.227,16.06,0.81,18.73,188.6136,0.33335,46.72199,122.15535
WA,322.3,61.37,37.2,120.8,137.4,483.1,67.4,0.782801816,0,0.85,469.4972569,0.4,1.4,33,8.283,9.75,58.1,10.24,0.217,0,117,1226.2,84.21,99,0.012,2.303,5.19,7.81,23.71,254.3942,NA,47.83211,120.85786
